! otype   = observation type (a7, t, uv, q, etc.)                                     
! type    = prepbufr observation type (if available) 
! sub     = prepbufr subtype (not yet available)
! iuse    = flag if to use/not use / monitor data
!         = 1  use data
!         = 0  do not use data
!         = -1 monitor data
! twindow = time window (+/- hours)
! numgrp  = cross validation parameter - number of groups
! ngroup  = cross validation parameter - group to remove from data use
! nmiter  = cross validation parameter - external iteration to introduce removed data
! gross   = gross error parameter - gross error
! ermax   = gross error parameter - max error  
! ermin   = gross error parameter - min error
! var_b   = variational quality control parameter -  b parameter
! var_pg ithin rmesh npred  = variational quality control parameter -  pg parameter
!otype   type  sub iuse twindow numgrp ngroup nmiter gross ermax ermin var_b    var_pg ithin rmesh  pmesh  npred
 uv       254   57   -1     3.0      0      0      0   1.5   5.0   1.4   1.5  0.000500     0    0.     0.      0
 uv       256    0   -1     3.0      0      0      0   2.5   6.1   1.4   2.5  0.000500     0    0.     0.      0
 uv       257    0    1     3.0      0      0      0   2.5   6.1   1.4   2.5  0.000500     0    0.     0.      0
 uv       258    0    1     3.0      0      0      0   2.5   6.1   1.4   2.5  0.000500     0    0.     0.      0
 uv       259    0    1     3.0      0      0      0   2.5   6.1   1.4   2.5  0.000500     0    0.     0.      0
 uv       280    0    1     3.0      0      0      0   6.0   6.1   1.4   6.0  0.000500     0    0.     0.      0
 uv       281    0   -1     3.0      0      0      0   6.0   6.1   1.4   6.0  0.000500     0    0.     0.      0
 uv       282    0    1     3.0      0      0      0   6.0   6.1   1.4   6.0  0.000500     0    0.     0.      0
 uv       284    0   -1     3.0      0      0      0   6.0   6.1   1.4   6.0  0.000500     0    0.     0.      0
 uv       285    0   -1     3.0      0      0      0   5.0   6.1   1.4   5.0  0.000500     0    0.     0.      0
 uv       286    0   -1     3.0      0      0      0   6.0   6.1   1.4   6.0  0.000500     0    0.     0.      0
 uv       287    0   -1     3.0      0      0      0   6.0   6.1   1.4   6.0  0.000500     0    0.     0.      0
 uv       289    0    1     3.0      0      0      0   5.0   6.1   1.4   5.0  0.000500     0    0.     0.      0
 uv       290    4    1     3.0      0      0      0   5.0   6.1   1.4   5.0  0.000500     1  100.  1200.      0
 uv       290    3   -1     3.0      0      0      0   5.0   6.1   1.4   5.0  0.000500     1  100.  1200.      0
 uv       290    5   -1     3.0      0      0      0   5.0   6.1   1.4   5.0  0.000500     1  100.  1200.      0
 spd      283    0   -1     3.0      0      0      0   8.0   6.1   1.4   8.0  0.000000     0    0.     0.      0
 dw       999    0   -1     3.0      0      0      0   8.0  10.0   2.0   8.0  0.000000     0    0.     0.      0
 dw       201    0   -1     3.0      0      0      0   8.0  10.0   2.0   8.0  0.000001     0    0.     0.      0
 dw       202    0   -1     3.0      0      0      0   8.0  10.0   2.0   8.0  0.000001     0    0.     0.      0
 dw       100    0   -1     3.0      0      0      0   4.0   5.0   2.0   8.0  0.000001     0    0.     0.      0
 dw       101    0   -1     3.0      0      0      0   4.0   5.0   2.0   8.0  0.000001     0    0.     0.      0
 srw      999    0   -1     2.5      0      0      0  10.0  10.0   1.0  10.0  0.000000     0    0.     0.      0
 rw       999    0   -1     2.5      0      0      0  10.0  10.0   2.0  10.0  0.000000     0    0.     0.      0
 gps      004    0    1     3.0      0      0      0  10.0  10.0   1.0  10.0  0.000000     0    0.     0.      0
 gps      041    0   -1     3.0      0      0      0  10.0  10.0   1.0  10.0  0.000000     0    0.     0.      0
 gps      722    0    1     3.0      0      0      0  10.0  10.0   1.0  10.0  0.000000     0    0.     0.      0
 gps      723    0   -1     3.0      0      0      0  10.0  10.0   1.0  10.0  0.000000     0    0.     0.      0
 gps      740    0    1     3.0      0      0      0  10.0  10.0   1.0  10.0  0.000000     0    0.     0.      0
 gps      741    0    1     3.0      0      0      0  10.0  10.0   1.0  10.0  0.000000     0    0.     0.      0
 gps      742    0    1     3.0      0      0      0  10.0  10.0   1.0  10.0  0.000000     0    0.     0.      0
 gps      743    0    1     3.0      0      0      0  10.0  10.0   1.0  10.0  0.000000     0    0.     0.      0
 gps      744    0    1     3.0      0      0      0  10.0  10.0   1.0  10.0  0.000000     0    0.     0.      0
 gps      745    0    1     3.0      0      0      0  10.0  10.0   1.0  10.0  0.000000     0    0.     0.      0
 gps      820    0    1     3.0      0      0      0  10.0  10.0   1.0  10.0  0.000000     0    0.     0.      0
 gps      042    0    1     3.0      0      0      0  10.0  10.0   1.0  10.0  0.000000     0    0.     0.      0
 gps      786    0    1     3.0      0      0      0  10.0  10.0   1.0  10.0  0.000000     0    0.     0.      0
 gps      421    0   -1     3.0      0      0      0  10.0  10.0   1.0  10.0  0.000000     0    0.     0.      0
 gps      003    0    1     3.0      0      0      0  10.0  10.0   1.0  10.0  0.000000     0    0.     0.      0
 gps      821    0   -1     3.0      0      0      0  10.0  10.0   1.0  10.0  0.000000     0    0.     0.      0
 gps      440    0   -1     3.0      0      0      0  10.0  10.0   1.0  10.0  0.000000     0    0.     0.      0
 pm2_5    102    0   -1     1.0      0      0      0 100.0   1.5   0.75 10.0  0.000000     0    0.     0.      0
