! For mls data, pressure and obs errors are pulled from bufr, so not listed here
! sens/instr/sat lev  use pressure gross   obs    b_oz  pg_oz
!                                  error  error variational qc
 sbuv6_n18        6   -1    7.800  3.000  1.414 10.000  0.000
 sbuv6_n18        7   -1   15.600  5.000  1.225 10.000  0.000
 sbuv6_n18        8   -1   31.000  7.000  1.225 10.000  0.000
 sbuv6_n18        9   -1   62.000  7.000  1.871 10.000  0.000
 sbuv6_n18       10   -1  125.000  5.000  1.871 10.000  0.000
 sbuv6_n18       11   -1  250.000  3.000  1.732 10.000  0.000
 sbuv6_n18       12   -1 1000.000  3.000  1.414 10.000  0.000
 sbuv6_n18       13   -1    0.000 12.000  2.236 10.000  0.000
 sbuv8_n16        1   -1    0.100  1.000  0.040 10.000  0.000
 sbuv8_n16        2   -1    0.158  1.000  0.020 10.000  0.000
 sbuv8_n16        3   -1    0.251  1.000  0.015 10.000  0.000
 sbuv8_n16        4   -1    0.398  1.000  0.030 10.000  0.000
 sbuv8_n16        5   -1    0.631  1.000  0.150 10.000  0.000
 sbuv8_n16        6   -1    1.000  1.000  0.050 10.000  0.000
 sbuv8_n16        7   -1    1.580  1.000  0.125 10.000  0.000
 sbuv8_n16        8   -1    2.510  1.282  0.200 10.000  0.000
 sbuv8_n16        9   -1    3.980  2.051  0.500 10.000  0.000
 sbuv8_n16       10   -1    6.310  2.641  0.500 10.000  0.000
 sbuv8_n16       11   -1   10.000  3.590  0.750 10.000  0.000
 sbuv8_n16       12   -1   15.800  5.052  1.225 10.000  0.000
 sbuv8_n16       13   -1   25.100  6.273  1.225 10.000  0.000
 sbuv8_n16       14   -1   39.800  7.000  1.423 10.000  0.000
 sbuv8_n16       15   -1   63.100  6.940  1.871 10.000  0.000
 sbuv8_n16       16   -1  100.000  5.752  1.871 10.000  0.000
 sbuv8_n16       17   -1  158.000  4.422  1.831 10.000  0.000
 sbuv8_n16       18   -1  251.000  3.000  1.730 10.000  0.000
 sbuv8_n16       19   -1  398.000  3.000  1.667 10.000  0.000
 sbuv8_n16       20   -1  631.000  3.000  1.567 10.000  0.000
 sbuv8_n16       21   -1 1000.000  3.000  1.408 10.000  0.000
 sbuv8_n16       22   -1    0.000 12.000  2.236 10.000  0.000
 sbuv8_n17        1   -1    0.100  1.000  0.040 10.000  0.000
 sbuv8_n17        2   -1    0.158  1.000  0.020 10.000  0.000
 sbuv8_n17        3   -1    0.251  1.000  0.015 10.000  0.000
 sbuv8_n17        4   -1    0.398  1.000  0.030 10.000  0.000
 sbuv8_n17        5   -1    0.631  1.000  0.150 10.000  0.000
 sbuv8_n17        6   -1    1.000  1.000  0.050 10.000  0.000
 sbuv8_n17        7   -1    1.580  1.000  0.125 10.000  0.000
 sbuv8_n17        8   -1    2.510  1.282  0.200 10.000  0.000
 sbuv8_n17        9   -1    3.980  2.051  0.500 10.000  0.000
 sbuv8_n17       10   -1    6.310  2.641  0.500 10.000  0.000
 sbuv8_n17       11   -1   10.000  3.590  0.750 10.000  0.000
 sbuv8_n17       12   -1   15.800  5.052  1.225 10.000  0.000
 sbuv8_n17       13   -1   25.100  6.273  1.225 10.000  0.000
 sbuv8_n17       14   -1   39.800  7.000  1.423 10.000  0.000
 sbuv8_n17       15   -1   63.100  6.940  1.871 10.000  0.000
 sbuv8_n17       16   -1  100.000  5.752  1.871 10.000  0.000
 sbuv8_n17       17   -1  158.000  4.422  1.831 10.000  0.000
 sbuv8_n17       18   -1  251.000  3.000  1.730 10.000  0.000
 sbuv8_n17       19   -1  398.000  3.000  1.667 10.000  0.000
 sbuv8_n17       20   -1  631.000  3.000  1.567 10.000  0.000
 sbuv8_n17       21   -1 1000.000  3.000  1.408 10.000  0.000
 sbuv8_n17       22   -1    0.000 12.000  2.236 10.000  0.000
 sbuv8_n18        1   -1    0.100  1.000  0.040 10.000  0.000
 sbuv8_n18        2   -1    0.158  1.000  0.020 10.000  0.000
 sbuv8_n18        3   -1    0.251  1.000  0.015 10.000  0.000
 sbuv8_n18        4   -1    0.398  1.000  0.030 10.000  0.000
 sbuv8_n18        5   -1    0.631  1.000  0.150 10.000  0.000
 sbuv8_n18        6   -1    1.000  1.000  0.050 10.000  0.000
 sbuv8_n18        7   -1    1.580  1.000  0.125 10.000  0.000
 sbuv8_n18        8   -1    2.510  1.282  0.200 10.000  0.000
 sbuv8_n18        9   -1    3.980  2.051  0.500 10.000  0.000
 sbuv8_n18       10   -1    6.310  2.641  0.500 10.000  0.000
 sbuv8_n18       11   -1   10.000  3.590  0.750 10.000  0.000
 sbuv8_n18       12   -1   15.800  5.052  1.225 10.000  0.000
 sbuv8_n18       13   -1   25.100  6.273  1.225 10.000  0.000
 sbuv8_n18       14   -1   39.800  7.000  1.423 10.000  0.000
 sbuv8_n18       15   -1   63.100  6.940  1.871 10.000  0.000
 sbuv8_n18       16   -1  100.000  5.752  1.871 10.000  0.000
 sbuv8_n18       17   -1  158.000  4.422  1.831 10.000  0.000
 sbuv8_n18       18   -1  251.000  3.000  1.730 10.000  0.000
 sbuv8_n18       19   -1  398.000  3.000  1.667 10.000  0.000
 sbuv8_n18       20   -1  631.000  3.000  1.567 10.000  0.000
 sbuv8_n18       21   -1 1000.000  3.000  1.408 10.000  0.000
 sbuv8_n18       22   -1    0.000 12.000  2.236 10.000  0.000
 sbuv8_n19        1   -1    0.100  1.000  0.040 10.000  0.000
 sbuv8_n19        2   -1    0.158  1.000  0.020 10.000  0.000
 sbuv8_n19        3   -1    0.251  1.000  0.015 10.000  0.000
 sbuv8_n19        4   -1    0.398  1.000  0.030 10.000  0.000
 sbuv8_n19        5   -1    0.631  1.000  0.150 10.000  0.000
 sbuv8_n19        6   -1    1.000  1.000  0.050 10.000  0.000
 sbuv8_n19        7   -1    1.580  1.000  0.125 10.000  0.000
 sbuv8_n19        8   -1    2.510  1.282  0.200 10.000  0.000
 sbuv8_n19        9   -1    3.980  2.051  0.500 10.000  0.000
 sbuv8_n19       10   -1    6.310  2.641  0.500 10.000  0.000
 sbuv8_n19       11   -1   10.000  3.590  0.750 10.000  0.000
 sbuv8_n19       12   -1   15.800  5.052  1.225 10.000  0.000
 sbuv8_n19       13   -1   25.100  6.273  1.225 10.000  0.000
 sbuv8_n19       14   -1   39.800  7.000  1.423 10.000  0.000
 sbuv8_n19       15   -1   63.100  6.940  1.871 10.000  0.000
 sbuv8_n19       16   -1  100.000  5.752  1.871 10.000  0.000
 sbuv8_n19       17   -1  158.000  4.422  1.831 10.000  0.000
 sbuv8_n19       18   -1  251.000  3.000  1.730 10.000  0.000
 sbuv8_n19       19   -1  398.000  3.000  1.667 10.000  0.000
 sbuv8_n19       20   -1  631.000  3.000  1.567 10.000  0.000
 sbuv8_n19       21   -1 1000.000  3.000  1.408 10.000  0.000
 sbuv8_n19       22   -1    0.000 12.000  2.236 10.000  0.000
 omi_aura         1   -1    0.000  6.000  5.000 10.000  0.000
 gome_metop-a     1   -1    0.000 12.000  2.236 10.000  0.000
 gome_metop-b     1   -1    0.000 12.000  2.236 10.000  0.000
 mls_aura         1   -1  999.999  9.999  9.999 10.000  0.000
 mls_aura         2   -1  999.999  9.999  9.999 10.000  0.000
 mls_aura         3   -1  999.999  9.999  9.999 10.000  0.000
 mls_aura         4   -1  999.999  9.999  9.999 10.000  0.000
 mls_aura         5   -1  999.999  9.999  9.999 10.000  0.000
 mls_aura         6   -1  999.999  9.999  9.999 10.000  0.000
 mls_aura         7   -1  999.999  9.999  9.999 10.000  0.000
 mls_aura         8   -1  999.999  9.999  9.999 10.000  0.000
 mls_aura         9   -1  999.999  9.999  9.999 10.000  0.000
 mls_aura        10   -1  999.999  9.999  9.999 10.000  0.000
 mls_aura        11   -1  999.999  9.999  9.999 10.000  0.000
 mls_aura        12   -1  999.999  9.999  9.999 10.000  0.000
 mls_aura        13   -1  999.999  9.999  9.999 10.000  0.000
 mls_aura        14   -1  999.999  9.999  9.999 10.000  0.000
 mls_aura        15   -1  999.999  9.999  9.999 10.000  0.000
 mls_aura        16   -1  999.999  9.999  9.999 10.000  0.000
 mls_aura        17   -1  999.999  9.999  9.999 10.000  0.000
 mls_aura        18   -1  999.999  9.999  9.999 10.000  0.000
 mls_aura        19   -1  999.999  9.999  9.999 10.000  0.000
 mls_aura        20   -1  999.999  9.999  9.999 10.000  0.000
 mls_aura        21   -1  999.999  9.999  9.999 10.000  0.000
 mls_aura        22   -1  999.999  9.999  9.999 10.000  0.000
 mls_aura        23   -1  999.999  9.999  9.999 10.000  0.000
 mls_aura        24   -1  999.999  9.999  9.999 10.000  0.000
 mls_aura        25   -1  999.999  9.999  9.999 10.000  0.000
 mls_aura        26   -1  999.999  9.999  9.999 10.000  0.000
 mls_aura        27   -1  999.999  9.999  9.999 10.000  0.000
 mls_aura        28   -1  999.999  9.999  9.999 10.000  0.000
 mls_aura        29   -1  999.999  9.999  9.999 10.000  0.000
 mls_aura        30   -1  999.999  9.999  9.999 10.000  0.000
 mls_aura        31   -1  999.999  9.999  9.999 10.000  0.000
 mls_aura        32   -1  999.999  9.999  9.999 10.000  0.000
 mls_aura        33   -1  999.999  9.999  9.999 10.000  0.000
 mls_aura        34   -1  999.999  9.999  9.999 10.000  0.000
 mls_aura        35   -1  999.999  9.999  9.999 10.000  0.000
 mls_aura        36   -1  999.999  9.999  9.999 10.000  0.000
 mls_aura        37   -1  999.999  9.999  9.999 10.000  0.000
