LOAI        10.0 BTT  
ELXB5        1.0 BU   
DCAV2        1.0 BU   
DDJE         1.0 BU   
DPUA         1.0 BU   
ELYN8        1.0 BU   
V2AP6        1.0 BU   
V2AC6        1.0 BU   
DICM         1.0 BU   
ELYR2        1.0 BU   
DBFN         1.0 BU   
DHSI         1.0 BU   
V2IA1        1.0 BU   
ELSU4        1.0 BU   
V7GU3        1.0 BU   
A8IP9        1.0 BU   
A8CK2        1.0 BU   
V7DT3        1.0 BU   
V7DV5        1.0 BU   
DGSR         1.0 BU   
DDPH         1.0 BU   
ZDEB2        1.0 BU   
DABH         1.0 BU   
ELVM5        1.0 BU   
A8JV5        1.0 BU   
DLCX         1.0 BU   
P3JM9        1.0 BU   
A8JV8        1.0 BU   
A8JV6        1.0 BU   
P3ZY6        1.0 BU   
V2EC         1.0 BU   
V7DH7        1.0 BU   
P3SG7        1.0 BU   
ELXQ4        1.0 BU   
A8HL4        1.0 BU   
A8FA5        1.0 BU   
V2OA         1.0 BU   
V2KA5        1.0 BU   
ELWS3        1.0 BU   
A8KI2        1.0 BU   
ELVO5        1.0 BU   
DACP         1.0 BU   
ELGG8        1.0 BU   
PBEO         1.0 BU   
V2AZ7        1.0 BU   
PJNE         1.0 BU   
ZDHG5        1.0 BU   
DCFY         1.0 BU   
ELXF8        1.0 BU   
DBAN         1.0 BU   
V2KA6        1.0 BU   
ELTV3        1.0 BU   
A8LC5        1.0 BU   
ELTG9        1.0 BU   
DNBT         1.0 BU   
DPGK         1.0 BU   
DFLM         1.0 BU   
V2AY9        1.0 BU   
V2NG         1.0 BU   
ZQVN3        1.0 BU   
A8CN8       10.0 C    
DBAJ         1.0 BU   
DHMW         1.0 BU   
DBAT         1.0 BU   
DGHB         1.0 BU   
ELWO6        1.0 BU   
A8BR8        1.0 BU   
ELUC5        1.0 BU   
ELUA3        1.0 BU   
ELWR5        1.0 BU   
ELGL9        1.0 BU   
DGHR         1.0 BU   
DEDI         1.0 BU   
V7DT5        1.0 BU   
DBAM         1.0 BU   
DBAR         1.0 BU   
DEIP         1.0 BU   
ELNL6        1.0 BU   
ELOV9        1.0 BU   
V2CF7        1.0 BU   
S6IH         1.0 BU   
ELVF4        1.0 BU   
DDSK         1.0 BU   
DADD         1.0 BU   
A8CF9        1.0 BU   
A8CG3        1.0 BU   
A8CG2        1.0 BU   
V2NH         1.0 BU   
DEFY         1.0 BU   
DBAI         1.0 BU   
ELGM4        1.0 BU   
V2IA5        1.0 BU   
DGSE         1.0 BU   
ELZA5        1.0 BU   
ELZU7        1.0 BU   
A8AX4        1.0 BU   
MJFH5        1.0 BU   
DEHY         1.0 BU   
P3KZ7        1.0 BU   
9HUR7        1.0 BU   
ZDGA5        1.0 BU   
DEDM         1.0 BU   
V2AZ5        1.0 BU   
DHAF         1.0 BU   
DIOB         1.0 BU   
ELZK4        1.0 BU   
V2CC         1.0 BU   
V2AJ9        1.0 BU   
V2AX2        1.0 BU   
V2CS3        1.0 BU   
V2TE         1.0 BU   
ELVG2        1.0 BU   
ELRE7        1.0 BU   
P3JZ2        1.0 BU   
ELVP2        1.0 BU   
DBBH         1.0 BU   
DBAP         1.0 BU   
V2OD5        1.0 BU   
DGVN         1.0 BU   
V2AI7        1.0 BU   
DIDC         1.0 BU   
A8AS5        1.0 BU   
V2ON3        1.0 BU   
ELUX6        1.0 BU   
H8KT         1.0 BU   
H8JI         1.0 BU   
ELZV9        1.0 BU   
ELXU6        1.0 BU   
ELTY9        1.0 BU   
3FMG8        1.0 BU   
DQVI        12.0 C    
A8IQ5        1.0 BU   
P3GU7        1.0 BU   
A8HB5        1.0 BU   
DBAF         1.0 BU   
A8KI3        1.0 BU   
V2AW5        1.0 BU   
A8KI7        1.0 BU   
DGRF         1.0 BU   
DPTT         1.0 BU   
V2FN         1.0 BU   
V2BA6        1.0 BU   
ELRY4        1.0 BU   
V2KA9        1.0 BU   
V2IP         1.0 BU   
V2EB         1.0 BU   
V2AE8        1.0 BU   
V2BA8        1.0 BU   
A8KM8        1.0 BU   
DBRE         1.0 BU   
V2AE6        1.0 BU   
V7MA5        1.0 BU   
DQVN         1.0 BU   
V2CA2        1.0 BU   
ELTY2        1.0 BU   
DQVM        12.0 C    
DBKV         1.0 BU   
Y3CH         1.0 BU   
DQVL        12.0 C    
DQVK         1.0 BU   
DGOG         1.0 BU   
MWBB7        1.0 BU   
ELRL3        1.0 BU   
ZQZK4        1.0 BU   
DARG         1.0 BU   
V2AY3        1.0 BU   
A8CI8        1.0 BU   
ELRR4        1.0 BU   
ELVB3        1.0 BU   
ELVB6        1.0 BU   
DNEN         1.0 BU   
DIGF         1.0 BU   
ELVG8        1.0 BU   
DPSD         1.0 BU   
A8IU8        1.0 BU   
ELQJ3        1.0 BU   
ELVF5        1.0 BU   
DGMH         1.0 BU   
ELVG7        1.0 BU   
S6MJ         1.0 BU   
MZUU6        1.0 BU   
DGOQ         1.0 BU   
ZDDT5        1.0 BU   
DBFO         1.0 BU   
DFNY         1.0 BU   
A8CL2        1.0 BU   
DIPS         1.0 BU   
V2MN         1.0 BU   
ZDGF4        1.0 BU   
DGBE         1.0 BU   
A8JC7        1.0 BU   
DEAZ         1.0 BU   
DBBR         1.0 BU   
DKQH         1.0 BU   
A8BS7        1.0 BU   
ELVJ9        1.0 BU   
V2HZ         1.0 BU   
ZQVN2        1.0 BU   
V2AG7        1.0 BU   
DBHK         1.0 BU   
ELXO3        1.0 BU   
DDFG         1.0 BU   
ELYE8        1.0 BU   
V2OO4        1.0 BU   
A8LQ5        1.0 BU   
DBAG         1.0 BU   
DBAQ         1.0 BU   
DBAE         1.0 BU   
DBFR         1.0 BU   
V2ER         1.0 BU   
ELRJ5        1.0 BU   
A8LA6        1.0 BU   
DBAK         1.0 BU   
ELSP9        1.0 BU   
V2DW         1.0 BU   
ELTY6        1.0 BU   
HCOR         1.0 BU   
EBUQ         4.3 HT   
FHQB         2.0 C    
FNUR         1.0 C    
FNBR         6.0 C    
FNIW         8.0 C    
FQWZ         6.0 HT   
FQFL         6.0 HT   
FQFM         8.0 HT   
FQXJ         6.0 HT   
TOUR         8.0 C    
MANE         8.0 C    
FNZV         4.0 C    
V2AF5        1.0 BU   
FNVK         1.0 HC   
FILL         4.0 C    
F7DJ3        5.0 C    
FNCI         6.0 C    
FNFD         6.0 C    
FKJB         2.0 HC   
FMCK         8.0 HC   
FZYB         2.0 C    
FNEH         2.0 HC   
FVEI         1.0 HC   
FGAK         2.0 C    
FNCM         1.0 HC   
FZVN         3.0 C    
FGIQ         2.0 HC   
FNWV         4.0 C    
PJEB        10.0 C    
VSNB8        7.0 C    
FH8698       1.0 BU   
FNHC         1.0 BU   
FNIN         2.0 C    
FNYF         4.0 HC   
FNHO         2.0 HC   
FNAV         2.0 HC   
FNMT         6.0 C    
FNCL         5.0 C    
FNIA         4.0 C    
P3DM4        7.0 C    
FNNO         3.0 C    
FQDN         4.0 HC   
FNPN         4.0 C    
FNAT         2.0 C    
FNWX         3.0 OT   
FNWZ         6.0 HC   
FQXB         1.0 HC   
FMAP         1.0 HC   
FNJI         5.0 C    
FPCS         2.0 HC   
FPOW         1.0 BU   
FZCE         4.0 HC   
C6OL4       13.0 C    
HZGN         1.0 BU   
HZGH         1.0 BU   
HZDD         1.0 BU   
C6OG4        1.0 BU   
DRMX         1.0 BU   
C6UG4        1.0 BU   
VQKZ6        1.0 BU   
S6JP        12.0 C    
S6JQ        12.0 C    
S6JT        10.0 C    
S6JU        10.0 C    
9VVD        11.0 C    
S6EX         3.0 C    
S6JR        12.0 C    
ZCDN9        6.5 C    
ZCFD2        1.0 BU   
ZCDM7        7.0 C    
VSQQ4        1.0 BU   
C6KV2        1.0 BU   
C6KB2        9.0 C    
GUSS         6.0 C    
ELWJ5        3.0 C    
GJTC         1.0 BU   
C6QF6       10.0 C    
LAIP5       15.0 C    
C6KB3       10.5 C    
MSYG9        1.0 BU   
A8GW2        1.0 BU   
MGRX2       12.0 C    
MNYF6        8.0 C    
MGSG6       12.0 C    
MGSM5       12.0 C    
MMER9        9.0 C    
MCYJ7       10.5 C    
MNAN4        9.0 C    
VQIV8        1.0 BU   
MCLQ4       10.5 C    
MASR5       10.5 C    
VQGB2        1.0 BU   
MHMZ8        1.0 BU   
VQFV3        1.0 BU   
VQHO7       10.0 C    
VQIB9       10.0 C    
VQOG5       13.5 C    
MZBN2        3.0 C    
ZQTP2        5.0 C    
MZDL7       19.5 C    
ZQCP3       21.0 C    
MGSH7        1.0 BU   
MHNO6        1.0 BU   
MDGV9       12.0 C    
VQIC2        6.9 C    
ZCBO2        1.0 BU   
ELXM5       14.5 C    
3EDI6        6.9 C    
LAOM4        1.0 BU   
LART5        1.0 BU   
MVEP4        1.0 BU   
S6OM         1.0 BU   
MRAB8        3.0 HC   
C6OM8       13.0 C    
C6KV3        1.0 BU   
MGSM3        1.0 C    
C6KD7        1.0 BU   
C6KD8        1.0 BU   
C6KD5        1.0 BU   
C6KD6        1.0 BU   
C6VR5        1.0 BU   
C6KD4        8.0 C    
C6KD9        1.0 BU   
MXXG8        2.0 HC   
C6SG6       10.0 C    
C6IO9       11.0 C    
VRBI3       13.5 C    
VRBH4        1.0 BU   
VRBH8       11.0 C    
VRBH6       11.0 C    
VRCZ7       14.0 C    
GUTE         1.0 BU   
GLNE         2.5 HC   
ZCBH9        1.0 BU   
ZCBC2        1.0 BU   
C6TZ5        8.8 C    
GBSN         1.0 BU   
ZCBE7        8.0 C    
C6KU7        1.0 BU   
ZCBH7       13.0 C    
ZDLS1        3.0 HC   
ELWU3        7.0 C    
VRYS8       13.0 C    
C6JG7        4.0 C    
VRWL3        1.0 BU   
8PNZ         1.0 BU   
8PNN         1.0 BU   
VRWO9        1.0 BU   
VRWL2        1.0 BU   
ZCBO6        1.0 BU   
C6JD9        1.0 BU   
V7FO9        1.0 BU   
MZGK7       12.0 C    
ZCAX9        1.0 BU   
ZCDA9        8.0 C    
MZIM8       12.5 C    
ZCBO5        1.0 BU   
ZCBU5        7.0 C    
ZQAY4       12.0 C    
C6OM7        5.0 C    
MZIF7        1.0 BU   
C6KB4        5.0 C    
9KLT         1.0 BU   
LARS5        1.0 BU   
LARK5        1.0 BU   
GFMJ         3.0 HC   
ZNOR2        2.2 C    
ZQYC3        1.9 HC   
LAPD5        1.0 BU   
ZCBN5        8.0 C    
ZCBW4        1.0 BU   
ZIQE8        6.5 C    
C6CU6        9.0 C    
GDMJ         3.0 HC   
MVNP4        2.2 HC   
MJCE3        3.0 HC   
C6RM7        8.0 C    
ZDLP         4.0 HC   
MLRM6        2.0 HC   
OYYK2       11.5 C    
MQPF2        3.0 HC   
MLCU2        1.2 HC   
8PNK         4.0 C    
C6HU6       11.0 C    
VRYF5        1.0 BU   
E5U2135      8.0 C    
OVSB2       13.0 C    
OVZV2       12.0 C    
OYYL2       12.0 C    
ZCBN9        1.0 BU   
GHJV         1.0 BU   
MKHA7        3.0 HC   
MLFB4       10.0 C    
MQYA3        3.0 HC   
MRGU3        3.0 HC   
MZVN6        5.0 C    
MSDM7        3.0 HC   
MTFH5        3.0 HC   
VQBW2        1.0 BU   
MYJM3       13.0 C    
MXBC6       13.0 C    
ZNQO3       12.5 C    
ZQYC5       10.5 C    
MHCQ7        5.0 C    
GFWX         1.0 BU   
MKYJ8        3.0 HC   
MYSU5       11.0 C    
MYMX5       14.5 C    
MZFR9        1.0 BU   
VQDV5        1.0 BU   
A8KW3       13.5 C    
A8JS7       13.0 C    
A8JK7       13.0 HC   
A8JS4       13.0 C    
A8JB7       13.0 C    
A8KW2       12.5 C    
A8JK6       13.0 C    
S6TV         8.0 C    
A8DV5        1.0 BU   
ELYQ7        1.0 BU   
ZCBV9       15.0 C    
ZCDH7        9.0 C    
MASH6        1.4 HC   
ZCBP6        9.0 HC   
9VVU        12.0 C    
MAHG5       10.0 C    
MSTM6       10.5 HC   
VRUZ2        1.0 BU   
HPUF         1.0 BU   
C6JQ6        8.6 C    
ZCBB9        1.0 BU   
ZQDI9       12.5 C    
MZER8       12.5 C    
A8EM2       10.0 C    
MZFC6       12.5 C    
ZCBB7        8.3 C    
ZCBV7        1.0 BU   
GURN         1.0 BU   
GJMP         3.0 HC   
GRFP         7.2 C    
VRVQ9        1.0 BU   
ZCDU9        6.7 HC   
3ESP7        7.0 C    
ZCBH8        1.0 BU   
ZCBP5        8.0 HC   
GDTT         1.0 BU   
VRZO2        1.0 BU   
GHHP         3.0 HC   
GDRJ         4.0 HC   
VQKZ5        1.0 BU   
C6KB7        9.0 C    
C6JE4       10.5 C    
J8B2915      7.5 C    
J8B2914      1.0 BU   
C6NZ3        1.0 BU   
C6OT4        7.0 C    
ZCBF3        5.0 C    
GIFR         4.0 HC   
A8JI3        6.0 C    
ZNAG2        1.0 BU   
H3KR         1.0 BU   
3FLV8        3.0 C    
GBTT         8.2 C    
GBQM         2.5 HC   
ZCBV4       15.0 C    
C6JG8       10.5 C    
J8TM6        2.0 C    
C6JD4        1.0 BU   
VRWR7        9.0 C    
VRUZ9        5.0 C    
C6ZU         7.5 C    
MZFP7        7.0 C    
VRUR7        1.0 BU   
DSOG9        1.0 BU   
VRVB6        1.0 BU   
GWOS         1.0 BU   
C6KU8        1.0 BU   
MQYS5        1.0 BU   
ZCBU3        7.0 C    
C6DK6        3.0 OT   
ZDCS6        1.0 BU   
C6JD8        9.0 C    
ZKU2125      6.3 C    
E5U2123      8.5 C    
ZKU2118      8.0 C    
E5U2124      7.5 C    
ZCBV6        1.0 BU   
3FWT9        7.5 C    
MMHE5        4.5 HC   
9VVS        11.0 C    
9VVW        11.0 C    
ZCDD6        7.0 C    
3FKD9        1.0 BU   
MZIU7        1.0 BU   
ZCRB2        4.5 C    
GCBZ         1.0 BU   
C6OD8        1.0 BU   
C6OD7        8.0 C    
C6JD6       10.5 C    
C6CN8        3.0 C    
ZCBH6       14.0 C    
ZCBD9        1.0 BU   
ZQHM2        1.0 BU   
ZCBZ4        1.0 BU   
MXMM5        9.0 C    
ZCBE9        1.0 BU   
ZNND9        5.0 C    
MYMY6        1.0 BU   
MYTA7        5.0 C    
VQHR9        5.0 C    
MYSB4        4.0 C    
A8ES6        1.0 BU   
ZCAW7        1.0 BU   
C6DA3        1.0 BU   
V7DI6        1.0 BU   
V7DI5        1.0 BU   
ZCBD4        8.8 C    
ZCAX3        1.0 BU   
GCML         3.0 HC   
MSHE2        1.0 BU   
ZCBE4        1.0 BU   
ZCBJ5        1.0 BU   
C6JE5        9.0 HC   
HOAP         1.0 BU   
C6JD7        8.0 C    
ZCBE3       16.0 C    
ZCBJ6        1.0 BU   
SYSV         1.5 C    
SWWZ         3.0 C    
SYQO         2.0 C    
SYMK         5.4 C    
SYOM         4.0 C    
SWKY         4.0 C    
SXYM         6.2 C    
SWJC         3.5 C    
A6JQ        14.0 C    
9MBX5       13.6 HC   
HPPQ         1.0 BU   
HPSX         6.0 C    
A6MP        11.0 C    
VQGQ4       13.5 C    
3ENO4        8.6 C    
VRBQ6        9.0 OT   
VRAR6       14.0 HC   
VRCG8        6.5 C    
VRWQ2        6.0 C    
VRWE7       14.0 C    
VRWB8       12.5 HC   
VRWG6        8.5 C    
VRWG5        6.0 C    
VRWF2       12.0 C    
VRZK9       10.0 C    
VRVA5        7.0 C    
VRWB7       12.0 C    
VRYO4       11.5 HC   
VRVN6       14.0 HC   
VRZL3        1.0 BU   
VRZL2       10.0 C    
VRZK8       14.5 C    
VRWN4       12.0 HC   
VRYO2       14.0 HC   
VRAR7        7.0 HC   
3FWP3        4.0 C    
9V6486       5.0 HC   
LMWR3        1.0 BU   
9V6485       1.0 BU   
9AJC         4.0 C    
9AJD         4.0 C    
9A2122       3.0 C    
9AIU         7.0 C    
9AEF         4.0 C    
9AEH         3.0 C    
9A2107       4.0 C    
9ANT         9.0 C    
9HPF7        9.0 C    
9ANG         3.0 C    
9HPN4        7.0 C    
9A8339       8.0 C    
J8FD2        8.0 C    
J8FF7        6.0 C    
9A2869       5.0 C    
9ANN         5.0 C    
9A8523       9.0 C    
9AA3029     11.0 C    
9A6544       5.0 C    
C4SI         6.0 C    
9ANO         3.0 C    
EIQJ         1.0 BU   
EIPT         1.0 C    
EIYP         1.0 C    
EIYM         1.0 C    
EIYT         1.0 C    
EIYS         1.0 C    
EIYX         1.0 C    
EIYN         1.0 C    
EIYQ         1.0 C    
EIWN         1.0 C    
4XGU         8.0 C    
4XFY         8.0 C    
4XFE        10.0 C    
4XFQ        10.0 C    
4XFD        10.0 C    
ZCBW2        8.0 C    
A8IZ2       10.0 C    
4XFB        10.0 C    
VSWW5       10.0 C    
4XFC        10.0 C    
4XFP        10.0 C    
4XIS        10.0 C    
9HGP7       10.0 C    
J8B2592     10.0 C    
4XFO        10.0 C    
4XFV        10.0 C    
4XIM         8.0 C    
4XFN        10.0 C    
4XFX        10.0 C    
ATGH         1.0 BU   
ATIU         1.0 BU   
AUOC         1.0 BU   
VWKZ         1.0 BU   
VTXK         1.0 BU   
VTJR         1.0 BU   
VWXS         1.0 BU   
ATCR         1.0 BU   
ATQP         1.0 BU   
BKFN         1.0 BU   
3FUH7        4.0 C    
YGWC         3.5 C    
3EOD8        5.8 C    
JEGI         6.5 C    
H3QM         8.0 C    
H9PN        14.0 C    
JNYU         9.0 C    
JHHU        11.3 C    
JPDR        10.0 C    
JPFR        11.2 C    
JPDP        11.0 C    
H9YY         9.0 C    
3FQV6        7.4 C    
H8XD         9.0 C    
JCBY         4.0 C    
3FBU5       13.0 C    
3FHT8        6.1 C    
3FHJ6        8.0 C    
JGQU        13.8 C    
JIJY         0.4 C    
9VAO        22.0 C    
S6CJ5       15.5 C    
C6VS3       21.0 C    
3ERN5        8.2 C    
JFVV        23.0 C    
HOBY         7.1 C    
ELUV4        2.0 C    
3FUE7        7.0 C    
9VMU5       17.6 C    
H9TB         6.7 C    
8KSI         6.0 C    
VRZZ5        8.0 C    
ELES7       11.5 C    
3FEA4        6.0 C    
JGAC        11.5 C    
JGAW         3.0 C    
H3DB        10.0 C    
3EQZ5        3.0 C    
3FLU7       12.0 C    
JLMB        11.3 C    
3FPW3        8.5 C    
JGPN         5.5 C    
3FHQ4        5.0 C    
3FVG5       14.0 C    
3FIC6       14.0 C    
H3EP        14.0 C    
HOZA        12.0 C    
H3ED        14.5 C    
HPEH        12.0 C    
H3BP        12.0 C    
3FFZ5       12.0 C    
3FZU5       16.0 C    
JBCN        10.0 C    
3FKL7       12.0 C    
H3BD        13.9 C    
3EKV9        0.9 C    
H9ZW         6.5 C    
H9JT         6.0 C    
3FFJ4        6.5 C    
3EJB9        6.5 C    
H9ER         6.0 C    
JADY         8.8 C    
3FBI6        8.5 C    
9VBG2       10.5 C    
3EBR3        8.5 C    
3FOQ9       13.0 C    
3EZJ9        9.0 C    
JRAJ         8.5 C    
7JBM         3.5 C    
JCCX         2.2 C    
H9HQ         9.0 C    
3FBJ7        7.5 C    
JKRK        11.0 C    
3EDP2        6.0 C    
H9LY         6.5 C    
03-Feb-05    5.8 C    
3FFP4       10.8 C    
3FZX7       10.8 C    
3FHF8       10.8 C    
H3HJ        11.8 C    
H3OG        11.8 C    
H3OH        11.0 C    
HONN        11.0 C    
HPFL        12.0 C    
H3HW        11.0 C    
HOZF         2.0 C    
3FIJ5        9.0 C    
3FDN9       16.7 C    
3FLG5        7.3 C    
3FTD8        9.0 C    
3FXH4       15.0 C    
9HSJ7       12.0 C    
9HSJR       12.0 C    
JNCI        11.3 C    
3EIF6        8.3 C    
C6MJ6        6.0 C    
HOQP         8.4 C    
JJKV         8.0 C    
3FRJ9        5.0 C    
ELJL9        8.0 C    
HPLK        20.5 C    
JRBI        20.5 C    
